2026-03-17 10:22 UTC,USDCHF,12288,124466.89,True,200,"{'Bull Trend': 46, 'Bear Trend': 0, 'High Volatility Expansion': 0, 'Low Volatility Compression': 11479, 'Value Gap Formation': 0, 'Mean Reversion Range': 0, 'Noise': 728}",OK
2026-03-26 02:54 UTC,USDJPY,12249,6,123593.21,-3019134064.14,-3019134723.66,True,200,"{'Bull Trend': 9982, 'Bear Trend': 138, 'High Volatility Expansion': 10, 'Low Volatility Compression': 5, 'Value Gap Formation': 1240, 'Mean Reversion Range': 839}","{3: np.float64(-2997884101.0), 4: np.float64(-3004011648.0), 5: np.float64(-2962590740.0), 6: np.float64(-3019134064.0), 7: np.float64(-2962722936.0), 8: np.float64(-2958562072.0), 9: np.float64(-3009309818.0), 10: np.float64(-2962733178.0)}",OK
2026-03-26 02:54 UTC,USDCHF,12288,9,126565.39,-3101356902.56,-3101358096.12,True,200,"{'Bull Trend': 1, 'Bear Trend': 8, 'High Volatility Expansion': 45, 'Low Volatility Compression': 10233, 'Value Gap Formation': 102, 'Mean Reversion Range': 1, 'Noise': 2}","{3: np.float64(-3084826433.0), 4: np.float64(-3089182236.0), 5: np.float64(-3071265395.0), 6: np.float64(-3101302471.0), 7: np.float64(-3044292310.0), 8: np.float64(-3096264477.0), 9: np.float64(-3101356903.0), 10: np.float64(-3042387062.0)}",OK
2026-03-27 02:57 UTC,EURUSD,12304,4,127082.71,-3103359213.4,-3103359591.31,True,200,"{'Bull Trend': 3, 'Bear Trend': 401, 'High Volatility Expansion': 907, 'Low Volatility Compression': 10899}","{3: np.float64(-3102964041.0), 4: np.float64(-3103359213.0), 8: np.float64(-3040442186.0), 10: np.float64(-3040400208.0)}",OK
2026-03-27 02:57 UTC,GBPUSD,12307,6,127530.93,-3113284207.6,-3113284867.06,True,200,"{'Bull Trend': 7, 'Bear Trend': 86, 'High Volatility Expansion': 172, 'Low Volatility Compression': 10131, 'Value Gap Formation': 1408, 'Mean Reversion Range': 402}","{3: np.float64(-3107289195.0), 4: np.float64(-3049210750.0), 6: np.float64(-3113284208.0), 7: np.float64(-3109489487.0), 9: np.float64(-3054375173.0)}",OK
2026-03-27 02:57 UTC,USDJPY,12237,7,123472.69,-3013473389.83,-3013474212.28,True,200,"{'Bull Trend': 9906, 'Bear Trend': 3, 'High Volatility Expansion': 30, 'Low Volatility Compression': 1249, 'Value Gap Formation': 9, 'Mean Reversion Range': 878, 'Noise': 128}","{3: np.float64(-2998589818.0), 4: np.float64(-2998719498.0), 5: np.float64(-3008104556.0), 6: np.float64(-3011586914.0), 7: np.float64(-3013473390.0), 8: np.float64(-3012018781.0), 9: np.float64(-3012368446.0)}",OK
2026-03-27 02:57 UTC,USDCHF,12264,6,126399.16,-3090205879.91,-3090206539.5,True,200,"{'Bull Trend': 1, 'Bear Trend': 45, 'High Volatility Expansion': 45, 'Low Volatility Compression': 10460, 'Value Gap Formation': 1036, 'Mean Reversion Range': 637}","{3: np.float64(-3077374303.0), 4: np.float64(-3080679152.0), 5: np.float64(-3032362775.0), 6: np.float64(-3090205880.0), 7: np.float64(-3034144999.0), 8: np.float64(-3080823167.0), 9: np.float64(-3031768218.0), 10: np.float64(-3027854945.0)}",OK
2026-03-28 02:46 UTC,EURUSD,12299,9,127159.35,-3103958249.55,-3103959442.5,True,200,"{'Bull Trend': 1, 'Bear Trend': 13, 'High Volatility Expansion': 23, 'Low Volatility Compression': 10920, 'Value Gap Formation': 719, 'Mean Reversion Range': 1, 'Noise': 22}","{3: np.float64(-3092949455.0), 4: np.float64(-3100959076.0), 5: np.float64(-3075998077.0), 6: np.float64(-3038773544.0), 7: np.float64(-3103269194.0), 8: np.float64(-3041617091.0), 9: np.float64(-3103958250.0), 10: np.float64(-3035750119.0)}",OK
2026-03-28 02:46 UTC,GBPUSD,12302,5,127365.41,-3107970082.55,-3107970593.79,True,200,"{'Bull Trend': 1, 'Bear Trend': 123, 'High Volatility Expansion': 452, 'Low Volatility Compression': 10512, 'Value Gap Formation': 1113}","{3: np.float64(-3104325199.0), 4: np.float64(-3103661193.0), 5: np.float64(-3107970083.0), 6: np.float64(-3084918527.0), 7: np.float64(-3049920902.0), 8: np.float64(-2980471722.0), 9: np.float64(-3051239007.0), 10: np.float64(-3046054419.0)}",OK
2026-03-28 02:46 UTC,USDJPY,12231,8,123451.61,-3011477402.57,-3011478402.78,True,200,"{'Bull Trend': 2, 'Bear Trend': 55, 'High Volatility Expansion': 125, 'Low Volatility Compression': 9202, 'Value Gap Formation': 16, 'Mean Reversion Range': 1122, 'Noise': 97}","{3: np.float64(-2995705979.0), 4: np.float64(-2996557333.0), 5: np.float64(-3007708618.0), 6: np.float64(-3009850590.0), 7: np.float64(-3007938277.0), 8: np.float64(-3011477403.0), 9: np.float64(-3007578601.0), 10: np.float64(-3010560435.0)}",OK
2026-03-28 02:46 UTC,USDCHF,12259,7,126289.61,-3086264442.36,-3086265264.95,True,200,"{'Bull Trend': 1, 'Bear Trend': 101, 'High Volatility Expansion': 45, 'Low Volatility Compression': 10061, 'Value Gap Formation': 1592, 'Mean Reversion Range': 261, 'Noise': 158}","{3: np.float64(-3074949963.0), 4: np.float64(-3072274984.0), 5: np.float64(-3054691903.0), 6: np.float64(-3078335072.0), 7: np.float64(-3086264442.0), 8: np.float64(-3077106070.0), 9: np.float64(-3062160814.0), 10: np.float64(-3025398241.0)}",OK
